iter	Passed	Remaining
399	29948	44922
400	30021	44845
401	30092	44764
402	30162	44682
403	30236	44606
404	30306	44524
405	30380	44448
406	30456	44375
407	30530	44299
408	30602	44219
409	30680	44149
410	30756	44076
411	30828	43997
412	30898	43916
413	30975	43844
414	31046	43764
415	31120	43688
416	31196	43615
417	31268	43536
418	31339	43456
419	31414	43382
420	31489	43307
421	31568	43238
422	31642	43161
423	31715	43085
424	31787	43007
425	31861	42930
426	31932	42850
427	32011	42781
428	32080	42699
429	32148	42616
430	32224	42542
431	32298	42466
432	32374	42393
433	32450	42320
434	32527	42248
435	32599	42169
436	32681	42104
437	32750	42022
438	32823	41945
439	32894	41865
440	32968	41789
441	33039	41710
442	33109	41629
443	33180	41549
444	33250	41469
445	33320	41388
446	33393	41312
447	33468	41238
448	33541	41160
449	33617	41088
450	33688	41008
451	33765	40936
452	33840	40863
453	33915	40788
454	33991	40714
455	34066	40640
456	34136	40560
457	34211	40485
458	34287	40412
459	34364	40341
460	34436	40263
461	34510	40187
462	34550	40072
463	34623	39995
464	34693	39916
465	34766	39839
466	34842	39766
467	34911	39685
468	34984	39609
469	35057	39532
470	35129	39455
471	35200	39376
472	35280	39307
473	35347	39225
474	35419	39147
475	35497	39077
476	35569	39000
477	35644	38925
478	35719	38851
479	35792	38775
480	35866	38700
481	35940	38624
482	36017	38552
483	36087	38473
484	36165	38402
485	36235	38323
486	36304	38243
487	36382	38172
488	36457	38097
489	36533	38024
490	36608	37950
491	36682	37875
492	36757	37800
493	36826	37720
494	36901	37646
495	36976	37573
496	37052	37499
497	37127	37426
498	37201	37351
499	37273	37273
500	37349	37200
501	37422	37124
502	37460	37014
503	37532	36937
504	37608	36863
505	37679	36786
506	37750	36707
507	37823	36632
508	37897	36557
509	37967	36478
510	37991	36355
511	38064	36280
512	38140	36207
513	38211	36129
514	38283	36053
515	38354	35975
516	38428	35900
517	38498	35822
518	38568	35744
519	38641	35669
520	38710	35589
521	38783	35514
522	38857	35439
523	38927	35361
524	39001	35286
525	39073	35211
526	39147	35135
527	39221	35061
528	39292	34984
529	39370	34913
530	39440	34835
531	39516	34762
532	39590	34687
533	39660	34610
534	39730	34532
535	39800	34454
536	39876	34381
537	39948	34305
538	40019	34228
539	40096	34156
540	40170	34081
541	40243	34006
542	40321	33935
543	40392	33858
544	40417	33742
545	40490	33667
546	40558	33588
547	40632	33514
548	40700	33435
549	40773	33360
550	40845	33284
551	40919	33209
552	40995	33137
553	41066	33060
554	41137	32984
555	41214	32912
556	41286	32836
557	41355	32758
558	41424	32680
559	41495	32603
560	41562	32523
561	41638	32451
562	41714	32378
563	41787	32303
564	41857	32226
565	41927	32149
566	41999	32073
567	42071	31997
568	42144	31923
569	42216	31847
570	42293	31775
571	42365	31700
572	42435	31622
573	42508	31547
574	42580	31472
575	42651	31396
576	42719	31318
577	42788	31239
578	42859	31164
579	42927	31085
580	43001	31011
581	43075	30937
582	43147	30862
583	43221	30787
584	43295	30713
585	43370	30640
586	43443	30566
587	43515	30490
588	43587	30414
589	43676	30351
590	43747	30275
591	43823	30202
592	43894	30126
593	43964	30049
594	44037	29975
595	44105	29896
596	44176	29821
597	44250	29746
598	44325	29673
599	44397	29598
600	44468	29522
601	44542	29448
602	44615	29373
603	44685	29297
604	44758	29222
605	44836	29150
606	44906	29074
607	44922	28963
608	44991	28886
609	45064	28811
610	45140	28738
611	45210	28662
612	45280	28586
613	45356	28514
614	45431	28440
615	45506	28367
616	45581	28294
617	45655	28220
618	45726	28145
619	45799	28070
620	45873	27996
621	45947	27922
622	45962	27813
623	46034	27738
624	46104	27662
625	46183	27592
626	46259	27519
627	46338	27448
628	46408	27372
629	46484	27300
630	46558	27226
631	46635	27155
632	46711	27082
633	46785	27008
634	46861	26936
635	46937	26863
636	47013	26791
637	47038	26689
638	47107	26612
639	47177	26537
640	47255	26466
641	47329	26392
642	47399	26316
643	47467	26239
644	47538	26164
645	47611	26090
646	47684	26016
647	47758	25942
648	47829	25867
649	47899	25791
650	47973	25718
651	48043	25642
652	48119	25570
653	48196	25498
654	48270	25424
655	48340	25349
656	48407	25272
657	48484	25200
658	48560	25127
659	48633	25053
660	48702	24977
661	48781	24906
662	48853	24831
663	48929	24759
664	49005	24686
665	49075	24611
666	49150	24538
667	49224	24464
668	49296	24390
669	49371	24317
670	49449	24245
671	49523	24172
672	49598	24099
673	49671	24025
674	49746	23951
675	49815	23876
676	49894	23804
677	49967	23730
678	50038	23656
679	50109	23580
680	50179	23505
681	50250	23430
682	50320	23355
683	50400	23284
684	50475	23211
685	50547	23136
686	50622	23063
687	50694	22989
688	50769	22916
689	50845	22843
690	50919	22770
691	50999	22699
692	51073	22625
693	51097	22530
694	51174	22458
695	51247	22384
696	51318	22308
697	51392	22235
698	51465	22161
699	51536	22086
700	51616	22016
701	51690	21942
702	51764	21869
703	51837	21795
704	51911	21721
705	51987	21649
706	52061	21575
707	52130	21500
708	52201	21425
709	52276	21352
710	52346	21277
711	52418	21202
712	52457	21115
713	52529	21041
714	52603	20967
715	52677	20894
716	52748	20819
717	52819	20745
718	52890	20670
719	52962	20596
720	53040	20524
721	53109	20449
722	53184	20376
723	53255	20301
724	53325	20227
725	53399	20153
726	53473	20080
727	53549	20007
728	53627	19935
729	53698	19861
730	53772	19787
731	53843	19713
732	53917	19639
733	53992	19566
734	54069	19494
735	54145	19421
736	54222	19349
737	54292	19274
738	54363	19199
739	54432	19125
740	54502	19050
741	54577	18976
742	54650	18903
743	54721	18828
744	54796	18755
745	54870	18682
746	54945	18609
747	55017	18535
748	55092	18462
749	55171	18390
750	55247	18317
751	55321	18244
752	55359	18159
753	55433	18085
754	55510	18013
755	55582	17939
756	55656	17865
757	55725	17791
758	55795	17716
759	55873	17644
760	55948	17571
761	56020	17497
762	56099	17425
763	56168	17350
764	56242	17276
765	56312	17202
766	56388	17129
767	56404	17038
768	56443	16955
769	56516	16881
770	56594	16809
771	56672	16737
772	56697	16649
773	56769	16576
774	56842	16502
775	56921	16430
776	56992	16357
777	57062	16282
778	57135	16209
779	57209	16135
780	57284	16063
781	57363	15991
782	57442	15919
783	57515	15846
784	57592	15773
785	57663	15699
786	57732	15625
787	57807	15552
788	57881	15479
789	57955	15405
790	58029	15332
791	58100	15258
792	58173	15185
793	58249	15112
794	58321	15038
795	58359	14956
796	58428	14882
797	58497	14807
798	58568	14733
799	58643	14660
800	58717	14587
801	58790	14514
802	58863	14440
803	58940	14368
804	59013	14295
805	59087	14222
806	59158	14148
807	59233	14075
808	59306	14001
809	59380	13928
810	59450	13854
811	59519	13780
812	59596	13707
813	59666	13633
814	59738	13560
815	59806	13485
816	59881	13412
817	59954	13339
818	60026	13265
819	60095	13191
820	60170	13118
821	60242	13045
822	60319	12972
823	60392	12899
824	60467	12826
825	60537	12752
826	60609	12678
827	60684	12606
828	60755	12532
829	60825	12458
830	60895	12384
831	60969	12311
832	61037	12236
833	61107	12162
834	61181	12089
835	61252	12016
836	61327	11943
837	61396	11869
838	61470	11795
839	61543	11722
840	61618	11649
841	61692	11576
842	61765	11503
843	61842	11430
