iter	Logloss
0	0.6455597164
1	0.5994000818
2	0.5576844378
3	0.517922632
4	0.4895953574
5	0.4638089851
6	0.444059068
7	0.4256167847
8	0.4091774831
9	0.3900291009
10	0.3718127144
11	0.3578108674
12	0.3451783046
13	0.3316335672
14	0.3207607644
15	0.3112056437
16	0.3008973555
17	0.2918378604
18	0.283722728
19	0.2767876742
20	0.2708115595
21	0.2640450783
22	0.2586606986
23	0.2529851251
24	0.2491246387
25	0.2456495821
26	0.2413875252
27	0.237472924
28	0.234495755
29	0.2312185423
30	0.2287458304
31	0.2258740571
32	0.223350034
33	0.2211571489
34	0.2189705649
35	0.216656985
36	0.2145051338
37	0.2124811836
38	0.21066405
39	0.209195237
40	0.2075055522
41	0.2062523933
42	0.2049010213
43	0.2039026512
44	0.2029277742
45	0.2019326228
46	0.2009890025
47	0.2003903387
48	0.1996067368
49	0.1989771849
50	0.1981462307
51	0.1974840453
52	0.1967903658
53	0.1961212002
54	0.1956838681
55	0.1953360173
56	0.1949359168
57	0.1942634777
58	0.1938622436
59	0.1935687121
60	0.1932324914
61	0.1928910709
62	0.1924870398
63	0.192234738
64	0.1919964845
65	0.1917395595
66	0.1914589872
67	0.1909664249
68	0.190623296
69	0.1903709287
70	0.1901805511
71	0.1900210718
72	0.188886361
73	0.1884806778
74	0.188316175
75	0.1881658301
76	0.1880056625
77	0.187890905
78	0.1876667049
79	0.1875361042
80	0.1874110614
81	0.1871976795
82	0.1869024452
83	0.1867073656
84	0.1865800278
85	0.1864171824
86	0.1862431411
87	0.1860270858
88	0.1858858818
89	0.1857057441
90	0.1855630571
91	0.185468371
92	0.1853592004
93	0.1851712102
94	0.1851038091
95	0.1849818238
96	0.1848173537
97	0.1846089029
98	0.184384998
99	0.1841616357
100	0.1839867607
101	0.1838625473
102	0.1838013446
103	0.1836872161
104	0.1835827885
105	0.1834649439
106	0.1833069971
107	0.1832526463
108	0.183103868
109	0.1830118506
110	0.1828579617
111	0.1826611478
112	0.1826118335
113	0.1825883726
114	0.1824241337
115	0.1822923629
116	0.1822259795
117	0.1820949516
118	0.1819841645
119	0.1818488343
120	0.1817512237
121	0.1816363478
122	0.1816015364
123	0.1814918418
124	0.181372842
125	0.181303705
126	0.1812093173
127	0.1810563816
128	0.1809315263
129	0.1807625611
130	0.1806912842
131	0.1805926731
132	0.1804522262
133	0.1803488777
134	0.1801872148
135	0.1801486302
136	0.1800735823
137	0.1799760249
138	0.1798209415
139	0.1796974027
140	0.1795607263
141	0.1795156975
142	0.1794694073
143	0.1793786173
144	0.1792853586
145	0.1792004373
146	0.1791065894
147	0.1790434629
148	0.1789474345
149	0.178848652
150	0.1788080428
151	0.1787265291
152	0.1786082754
153	0.1785258635
154	0.17837394
155	0.1783031254
156	0.1782238609
157	0.1781659469
158	0.1780539651
159	0.1779637835
160	0.1778684653
161	0.1777862938
162	0.1774604618
163	0.1773446009
164	0.1772678051
165	0.1771155017
166	0.1769557757
167	0.1768176075
168	0.1767157351
169	0.1765851499
170	0.1764738497
171	0.176416127
172	0.1762783353
173	0.1761267506
174	0.1760312619
175	0.1759780114
176	0.1758900918
177	0.1757814993
178	0.1756733481
179	0.175607398
180	0.1755219234
181	0.1754387271
182	0.1753806929
183	0.1752949784
184	0.1751987963
185	0.175087668
186	0.1750410964
187	0.1749776864
188	0.1749277299
189	0.1748167643
190	0.1747089366
191	0.1745951711
192	0.1744811813
193	0.174476553
194	0.1744478036
195	0.1743848725
196	0.1742974576
197	0.1742410746
198	0.1741158896
199	0.1740549458
200	0.1739806685
201	0.173867571
202	0.1737613389
203	0.1736634581
204	0.1733736325
205	0.1733479137
206	0.1733438638
207	0.1732585342
208	0.1731772788
209	0.1731119299
210	0.1730591926
211	0.1729736195
212	0.172898418
213	0.1728402892
214	0.1727420239
215	0.1726790097
216	0.1725650837
217	0.1722338524
218	0.1721492061
219	0.1720914623
220	0.1720097047
221	0.1719629202
222	0.171873627
223	0.1718308822
224	0.1717730647
225	0.1717149671
226	0.1716047691
227	0.1715127011
228	0.1714667781
229	0.171306428
230	0.1712615207
231	0.1711977215
232	0.1711300345
233	0.1710802531
234	0.171034661
235	0.1709391248
236	0.1708593509
237	0.1707357802
238	0.1706870577
239	0.1706013391
240	0.1705717137
241	0.1705002843
242	0.1704665483
243	0.1704160926
244	0.1704024253
245	0.1703069402
246	0.1702143182
247	0.1701090983
248	0.1700445216
249	0.1699763236
250	0.1698944132
251	0.169793917
252	0.1696705931
253	0.1696457094
254	0.1693195199
255	0.1692741148
256	0.169196947
257	0.1691435043
258	0.1688129827
259	0.1687654169
260	0.1686185007
261	0.168550856
262	0.1684396134
263	0.1683277406
264	0.1682858251
265	0.1682173972
266	0.1681261818
267	0.1680817509
268	0.1679907043
269	0.1678879057
270	0.1677984768
271	0.1677512528
272	0.1677124744
273	0.1676421456
274	0.1675563984
275	0.167490391
276	0.1674117218
277	0.1673504289
278	0.1672721702
279	0.1672089498
280	0.167193519
281	0.1671142656
282	0.1670404963
283	0.166943989
284	0.1668845553
285	0.1667846282
286	0.1667395503
287	0.1666318778
288	0.1665309436
289	0.1664267628
290	0.1663690787
291	0.1663245281
292	0.1663028312
293	0.1662191176
294	0.1661366905
295	0.1660598674
296	0.166018432
297	0.165967962
298	0.1659248769
299	0.1658430948
300	0.1657944576
301	0.1656895948
302	0.1656322208
303	0.16554132
304	0.1654502555
305	0.1653943264
306	0.1653487729
307	0.1653146062
308	0.1652834108
309	0.1652347369
310	0.1651966208
311	0.1651753681
312	0.1651051006
313	0.1650464938
314	0.164993047
315	0.1649445537
316	0.1649057325
317	0.1648386306
318	0.1647579572
319	0.1646714242
320	0.1646606183
321	0.1646048811
322	0.1645616294
323	0.1644959058
324	0.164432094
